sys,Class,n_valid,n_total
sys000,Seyfert,722,722
sys000,LINER,1064,1064
sys000,Composite,2937,2937
sys000,Star-forming,804,804
sys010,Seyfert,722,722
sys010,LINER,1064,1064
sys010,Composite,2937,2937
sys010,Star-forming,804,804
sys020,Seyfert,722,722
sys020,LINER,1064,1064
sys020,Composite,2937,2937
sys020,Star-forming,804,804
sys030,Seyfert,722,722
sys030,LINER,1064,1064
sys030,Composite,2937,2937
sys030,Star-forming,804,804
sys050,Seyfert,722,722
sys050,LINER,1064,1064
sys050,Composite,2937,2937
sys050,Star-forming,804,804
