TARGETID,BPT_CLASS,ZTF_FILE,N_POINTS,RA,DEC
2323623821967360,SEYFERT,DESI_2323623821967360_g.csv,160,188.535083333,2.65366666667
2402725966905347,SEYFERT,DESI_2402725966905347_g.csv,140,51.99611750772901,0.2796433689816625
2842230209380355,SEYFERT,DESI_2842230209380355_g.csv,103,23.224095535637417,-12.191233422445675
2842230884663298,SEYFERT,DESI_2842230884663298_g.csv,82,64.17679475410966,-12.200098911587268
2842266511081477,SEYFERT,DESI_2842266511081477_g.csv,92,69.55910094809516,-10.795842912402293
2842357078687747,SEYFERT,DESI_2842357078687747_g.csv,133,129.6213893034266,-7.124204726892327
2842357460369408,SEYFERT,DESI_2842357460369408_g.csv,190,152.5499617727588,-6.899147407569419
2842361495289858,SEYFERT,DESI_2842361495289858_g.csv,138,34.5515104814674,-6.819442484358295
2842363693105153,SEYFERT,DESI_2842363693105153_g.csv,84,166.41347457748068,-6.735320204321661
2842375210663936,SEYFERT,DESI_2842375210663936_g.csv,118,136.55890661681903,-6.318978845926336
2842380076056577,SEYFERT,DESI_2842380076056577_g.csv,115,68.18486694967751,-5.889726005251603
2842381833469952,SEYFERT,DESI_2842381833469952_g.csv,55,173.33877006862576,-5.987963704175214
2842393149702144,SEYFERT,DESI_2842393149702144_g.csv,180,130.74999537782594,-5.586675447934542
2842393476857860,SEYFERT,DESI_2842393476857860_g.csv,64,150.1301735628899,-5.453615316160436
2842399139168258,SEYFERT,DESI_2842399139168258_g.csv,152,128.90400783549933,-5.330926418612632
2842399445352454,SEYFERT,DESI_2842399445352454_g.csv,170,147.34200628204928,-5.190381406070807
2842399449546754,SEYFERT,DESI_2842399449546754_g.csv,193,147.4327810403352,-5.259502775002367
2842399906725888,SEYFERT,DESI_2842399906725888_g.csv,108,174.793947331455,-5.336927538427561
2842399961251840,SEYFERT,DESI_2842399961251840_g.csv,130,178.15899897162555,-5.207015746242644
2842405476761606,SEYFERT,DESI_2842405476761606_g.csv,143,147.73529677138586,-4.99770858505432
