TARGETID,Class,Mean_mag,Fvar_percent,N,Time_span,oid_n,n_outlier,n_near_limit,max_magerr,reason_tag,lc_file,qc_png,outliers_csv
2842502247743492,Star-forming,20.0763531,69.48414749257398,31,2578.041979200003,1,2,1,0.228529096,large_magerr,C:\Users\30126\Desktop\AGN\ZTF_lightcurves_CLEAN_R_MINFIX\STARFORMING\2842502247743492_rband_clean.csv,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Starforming\2842502247743492_QC.png,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Starforming\2842502247743492_outliers_tagged.csv
2402721722269698,Star-forming,19.7226324,47.83161014446252,144,2748.318946699997,1,11,3,0.187849745,large_magerr,C:\Users\30126\Desktop\AGN\ZTF_lightcurves_CLEAN_R_MINFIX\STARFORMING\2402721722269698_rband_clean.csv,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Starforming\2402721722269698_QC.png,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Starforming\2402721722269698_outliers_tagged.csv
2390375691976711,Star-forming,20.2053051,41.60075695115916,107,2695.3397337999995,1,0,11,0.206017256,near_limitmag|large_magerr,C:\Users\30126\Desktop\AGN\ZTF_lightcurves_CLEAN_R_MINFIX\STARFORMING\2390375691976711_rband_clean.csv,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Starforming\2390375691976711_QC.png,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Starforming\2390375691976711_outliers_tagged.csv
39627684245936360,Star-forming,20.3767338,40.31008333611599,55,2536.9236574000024,1,1,4,0.227518439,large_magerr,C:\Users\30126\Desktop\AGN\ZTF_lightcurves_CLEAN_R_MINFIX\STARFORMING\39627684245936360_rband_clean.csv,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Starforming\39627684245936360_QC.png,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Starforming\39627684245936360_outliers_tagged.csv
39627779322420534,Star-forming,19.0590973,39.490458150000094,35,2608.0232639000023,1,0,0,0.126979336,unclear,C:\Users\30126\Desktop\AGN\ZTF_lightcurves_CLEAN_R_MINFIX\STARFORMING\39627779322420534_rband_clean.csv,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Starforming\39627779322420534_QC.png,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Starforming\39627779322420534_outliers_tagged.csv
39628199595871779,Star-forming,19.81021785,34.37156898296794,490,2691.8170255000005,1,14,3,0.159080863,large_magerr,C:\Users\30126\Desktop\AGN\ZTF_lightcurves_CLEAN_R_MINFIX\STARFORMING\39628199595871779_rband_clean.csv,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Starforming\39628199595871779_QC.png,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Starforming\39628199595871779_outliers_tagged.csv
39628170957164391,Star-forming,19.315403,33.82254740873984,33,2729.6931480999992,1,0,1,0.110472977,unclear,C:\Users\30126\Desktop\AGN\ZTF_lightcurves_CLEAN_R_MINFIX\STARFORMING\39628170957164391_rband_clean.csv,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Starforming\39628170957164391_QC.png,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Starforming\39628170957164391_outliers_tagged.csv
39627827544332554,Star-forming,19.66640185,33.484439047053776,370,2640.990057800001,1,9,0,0.157500535,large_magerr,C:\Users\30126\Desktop\AGN\ZTF_lightcurves_CLEAN_R_MINFIX\STARFORMING\39627827544332554_rband_clean.csv,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Starforming\39627827544332554_QC.png,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Starforming\39627827544332554_outliers_tagged.csv
39636377209405702,Star-forming,20.315176,33.30054042841091,82,2598.9270023000063,1,0,6,0.238349199,near_limitmag|large_magerr,C:\Users\30126\Desktop\AGN\ZTF_lightcurves_CLEAN_R_MINFIX\STARFORMING\39636377209405702_rband_clean.csv,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Starforming\39636377209405702_QC.png,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Starforming\39636377209405702_outliers_tagged.csv
39627648879563446,Star-forming,19.6936264,33.108470339223324,54,2344.6692823999983,1,1,1,0.201010823,large_magerr,C:\Users\30126\Desktop\AGN\ZTF_lightcurves_CLEAN_R_MINFIX\STARFORMING\39627648879563446_rband_clean.csv,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Starforming\39627648879563446_QC.png,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Starforming\39627648879563446_outliers_tagged.csv
39627743360453625,Star-forming,19.2510452,33.03534335215984,59,2624.024560099999,1,0,2,0.171386495,large_magerr,C:\Users\30126\Desktop\AGN\ZTF_lightcurves_CLEAN_R_MINFIX\STARFORMING\39627743360453625_rband_clean.csv,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Starforming\39627743360453625_QC.png,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Starforming\39627743360453625_outliers_tagged.csv
39627841934987333,Star-forming,19.5419312,32.934182932814146,37,2140.1197569,1,1,0,0.160525903,large_magerr,C:\Users\30126\Desktop\AGN\ZTF_lightcurves_CLEAN_R_MINFIX\STARFORMING\39627841934987333_rband_clean.csv,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Starforming\39627841934987333_QC.png,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Starforming\39627841934987333_outliers_tagged.csv
39627796581978622,Star-forming,19.1914549,32.684679699914966,82,2665.834722200001,1,0,0,0.1118792,unclear,C:\Users\30126\Desktop\AGN\ZTF_lightcurves_CLEAN_R_MINFIX\STARFORMING\39627796581978622_rband_clean.csv,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Starforming\39627796581978622_QC.png,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Starforming\39627796581978622_outliers_tagged.csv
39633015034350241,Star-forming,19.6941185,30.97344584688053,161,2182.132615800001,1,1,2,0.240119457,large_magerr,C:\Users\30126\Desktop\AGN\ZTF_lightcurves_CLEAN_R_MINFIX\STARFORMING\39633015034350241_rband_clean.csv,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Starforming\39633015034350241_QC.png,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Starforming\39633015034350241_outliers_tagged.csv
39628051717295008,Star-forming,19.8093834,29.54824193515704,89,2574.088009300001,1,0,3,0.195179984,large_magerr,C:\Users\30126\Desktop\AGN\ZTF_lightcurves_CLEAN_R_MINFIX\STARFORMING\39628051717295008_rband_clean.csv,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Starforming\39628051717295008_QC.png,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Starforming\39628051717295008_outliers_tagged.csv
39627557301126813,Star-forming,19.0229454,28.901814002152665,434,2617.8526388000028,1,1,0,0.110468328,unclear,C:\Users\30126\Desktop\AGN\ZTF_lightcurves_CLEAN_R_MINFIX\STARFORMING\39627557301126813_rband_clean.csv,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Starforming\39627557301126813_QC.png,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Starforming\39627557301126813_outliers_tagged.csv
